                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                  1.105,                 1.3053,                 1.2615,                0.66588,                0.53887,                0.58955,                0.43354,                0.99647,                 1.0317,                 1.1657,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.1011,                 1.3028,                 1.2611,                0.66379,                0.54083,                0.59046,                0.43372,                0.99562,                 1.0308,                 1.1649,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.1037,                 1.3049,                   1.26,                0.66126,                 0.5444,                0.59071,                0.43418,                0.99504,                   1.03,                  1.164,               0.009208,               0.009208,               0.009208
                     82,                 1.1034,                 1.3041,                 1.2612,                0.65623,                0.54795,                0.59098,                0.43419,                0.99461,                 1.0298,                 1.1633,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.1055,                 1.3044,                 1.2599,                0.65675,                0.54887,                0.59126,                 0.4345,                0.99439,                   1.03,                 1.1626,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.1043,                 1.3017,                 1.2602,                0.65742,                0.54768,                0.59126,                0.43463,                0.99471,                 1.0299,                 1.1626,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.1037,                  1.301,                 1.2585,                0.65716,                0.55064,                0.59211,                0.43497,                0.99387,                 1.0291,                 1.1618,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.1015,                 1.2985,                 1.2562,                0.65877,                0.54865,                0.59195,                0.43491,                0.99307,                 1.0279,                 1.1609,              0.0091585,              0.0091585,              0.0091585
                     87,                  1.102,                 1.3014,                 1.2565,                0.66144,                0.54754,                0.59306,                0.43619,                0.99234,                 1.0264,                   1.16,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.1051,                 1.3011,                 1.2591,                0.67008,                0.54681,                0.59335,                 0.4364,                0.99265,                 1.0251,                 1.1594,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.1002,                 1.2968,                 1.2557,                0.67558,                0.54398,                0.59403,                0.43686,                0.99269,                 1.0238,                 1.1592,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.1007,                 1.2931,                 1.2555,                0.66947,                  0.548,                0.59467,                0.43678,                0.99234,                 1.0229,                 1.1588,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.0998,                 1.2951,                 1.2551,                0.66736,                0.54961,                0.59513,                0.43745,                0.99281,                 1.0219,                 1.1585,               0.009109,               0.009109,               0.009109
                     92,                 1.0998,                 1.2945,                 1.2548,                0.66754,                0.54939,                0.59606,                0.43797,                0.99244,                 1.0211,                 1.1579,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.1008,                 1.2903,                 1.2533,                0.66377,                0.55457,                0.59668,                0.43848,                0.99182,                   1.02,                 1.1575,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.0996,                  1.292,                 1.2556,                0.66898,                0.55013,                0.59657,                0.43881,                0.99158,                 1.0193,                  1.157,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.1021,                 1.2926,                 1.2545,                 0.6726,                0.54976,                0.59722,                0.43957,                 0.9914,                 1.0188,                 1.1564,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.0962,                 1.2875,                 1.2532,                0.67739,                0.54692,                0.59687,                0.43916,                0.99164,                 1.0184,                 1.1561,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.1007,                  1.286,                 1.2512,                0.67628,                0.54744,                0.59701,                0.43959,                0.99151,                 1.0178,                 1.1558,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.0981,                 1.2878,                 1.2512,                0.67776,                0.54639,                  0.597,                0.43932,                0.99134,                 1.0184,                 1.1553,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.0962,                 1.2881,                 1.2526,                0.67949,                0.54488,                0.59796,                0.43961,                0.99138,                  1.018,                 1.1551,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.0963,                 1.2846,                 1.2507,                0.67341,                0.54783,                0.59793,                0.44006,                0.99042,                  1.016,                 1.1545,              0.0090199,              0.0090199,              0.0090199
