                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.45068,                0.29835,                0.91486,                0.97471,                0.96753,                0.98208,                0.79337,                0.76656,                0.41404,                 1.2216,             0.00037774,             0.00037774,             0.00037774
                    122,                0.45322,                0.32082,                0.91643,                0.97218,                0.95494,                0.98306,                0.80206,                0.73111,                0.38099,                 1.1978,             0.00037163,             0.00037163,             0.00037163
                    123,                0.43903,                0.28397,                0.91832,                0.94192,                0.95579,                0.99096,                 0.8129,                0.76674,                 0.4172,                 1.2275,             0.00036552,             0.00036552,             0.00036552
                    124,                0.43292,                0.28453,                0.90396,                0.97822,                0.95172,                0.99189,                 0.8191,                0.72521,                0.40297,                 1.1946,             0.00035941,             0.00035941,             0.00035941
                    125,                0.44035,                0.29724,                0.95717,                0.97977,                0.95219,                0.99253,                0.81881,                0.72546,                0.36947,                 1.1986,              0.0003533,              0.0003533,              0.0003533
                    126,                0.41939,                 0.2757,                0.90739,                0.97999,                0.95842,                0.99189,                 0.8153,                0.73217,                0.37056,                 1.2041,             0.00034719,             0.00034719,             0.00034719
                    127,                0.47989,                0.32566,                0.91829,                 0.9825,                0.95871,                0.99143,                0.80581,                0.76492,                0.36709,                 1.2417,             0.00034108,             0.00034108,             0.00034108
                    128,                0.45497,                0.30371,                0.95435,                 0.9831,                0.98518,                  0.995,                0.80844,                0.76506,                0.34747,                 1.2485,             0.00033497,             0.00033497,             0.00033497
                    129,                0.44271,                0.29446,                0.93949,                0.97587,                0.98571,                0.99407,                0.80777,                0.78756,                0.36998,                 1.2705,             0.00032886,             0.00032886,             0.00032886
                    130,                0.41559,                0.27644,                0.92892,                0.97609,                0.98571,                0.99325,                0.81808,                0.76385,                0.36946,                 1.2557,             0.00032275,             0.00032275,             0.00032275
                    131,                0.43193,                0.29088,                 0.9346,                0.97492,                0.96646,                0.99407,                0.79998,                0.82526,                0.37383,                 1.3241,             0.00031664,             0.00031664,             0.00031664
                    132,                0.42278,                0.29279,                 0.9259,                0.98495,                0.95913,                0.99253,                0.81512,                0.74787,                0.36191,                  1.233,             0.00031052,             0.00031052,             0.00031052
                    133,                0.43552,                0.30301,                0.89701,                0.89902,                0.98571,                0.98786,                0.82098,                0.74438,                0.43764,                 1.2168,             0.00030441,             0.00030441,             0.00030441
                    134,                0.41035,                 0.2832,                0.91957,                0.96121,                0.91449,                0.98859,                0.82851,                0.73981,                0.41803,                   1.21,              0.0002983,              0.0002983,              0.0002983
                    135,                0.40223,                0.28745,                0.92109,                0.98161,                0.95392,                0.99325,                0.81527,                 0.7611,                0.38543,                 1.2404,             0.00029219,             0.00029219,             0.00029219
                    136,                0.40959,                0.27383,                0.91327,                0.98397,                0.97896,                0.99253,                0.81815,                0.77016,                0.34796,                 1.2651,             0.00028608,             0.00028608,             0.00028608
                    137,                0.42808,                0.28684,                0.91416,                0.98618,                0.95703,                0.99132,                0.81783,                0.74469,                0.35882,                 1.2266,             0.00027997,             0.00027997,             0.00027997
                    138,                0.42381,                0.27792,                0.91374,                0.93977,                0.93957,                0.99033,                0.82254,                0.71661,                0.42278,                 1.2028,             0.00027386,             0.00027386,             0.00027386
                    139,                0.41758,                0.28718,                0.92993,                0.88401,                0.94235,                0.98942,                0.80847,                0.74886,                0.47255,                 1.2265,             0.00026775,             0.00026775,             0.00026775
                    140,                0.40657,                0.27708,                0.92158,                 0.9885,                 0.9574,                0.99143,                0.80675,                0.76186,                0.36571,                 1.2384,             0.00026164,             0.00026164,             0.00026164
                    141,                0.43126,                0.27878,                  0.931,                 0.9899,                 0.9593,                0.99143,                0.81594,                0.77113,                0.34149,                 1.2542,             0.00025553,             0.00025553,             0.00025553
                    142,                0.41787,                0.30165,                0.97381,                0.98441,                0.97659,                0.99253,                0.82526,                0.75429,                0.33419,                 1.2248,             0.00024942,             0.00024942,             0.00024942
                    143,                 0.3977,                0.27815,                0.91445,                0.97734,                0.98395,                0.99325,                0.83372,                0.72854,                0.34301,                 1.1981,             0.00024331,             0.00024331,             0.00024331
                    144,                0.39189,                0.27401,                0.89175,                0.97818,                0.96277,                0.99325,                 0.8337,                0.72008,                0.34864,                  1.208,              0.0002372,              0.0002372,              0.0002372
                    145,                0.46082,                0.29842,                0.95215,                0.98307,                0.94948,                0.99325,                0.81081,                0.75202,                0.38087,                 1.2639,             0.00023109,             0.00023109,             0.00023109
                    146,                0.40398,                0.27654,                0.89239,                0.98703,                0.94871,                0.99407,                0.81298,                 0.7643,                0.38128,                 1.2683,             0.00022498,             0.00022498,             0.00022498
                    147,                0.39039,                0.25746,                0.88964,                0.97064,                0.96904,                0.99189,                0.80377,                0.77008,                0.37824,                 1.2637,             0.00021887,             0.00021887,             0.00021887
                    148,                0.38404,                0.27771,                0.89213,                0.92472,                0.98571,                0.99325,                0.79785,                0.77143,                0.40164,                 1.2594,             0.00021276,             0.00021276,             0.00021276
                    149,                0.42174,                0.28565,                0.93248,                 0.9764,                0.98611,                  0.995,                0.81593,                0.75591,                0.33493,                 1.2375,             0.00020665,             0.00020665,             0.00020665
                    150,                0.39335,                0.25937,                0.91714,                 0.9833,                0.98845,                  0.995,                0.81342,                0.75938,                0.34261,                   1.24,             0.00020054,             0.00020054,             0.00020054
                    151,                0.38766,                0.26589,                0.90329,                0.98024,                0.97409,                0.99407,                0.82596,                0.74125,                0.34283,                 1.2309,             0.00019442,             0.00019442,             0.00019442
                    152,                0.38661,                0.26327,                 0.8987,                0.97835,                0.95497,                0.99189,                0.82719,                0.71853,                0.37293,                 1.2128,             0.00018831,             0.00018831,             0.00018831
